experiment,step,train_loss,val_loss
scaleup,250,2.2574,2.2972
scaleup,300,2.1571,2.2145
scaleup,350,2.0611,2.134
scaleup,400,1.9813,2.0752
scaleup,450,1.9184,2.0194
scaleup,500,1.8583,1.9751
scaleup,550,1.8044,1.9343
scaleup,600,1.7564,1.903
scaleup,650,1.7177,1.872
scaleup,700,1.6802,1.8393
scaleup,750,1.6505,1.8167
scaleup,800,1.6283,1.7916
scaleup,850,1.5993,1.7712
scaleup,900,1.5748,1.7513
scaleup,950,1.5534,1.7355
scaleup,1000,1.5368,1.7231
scaleup,1050,1.5173,1.6983
scaleup,1100,1.5019,1.6868
scaleup,1150,1.487,1.6829
scaleup,1200,1.4749,1.6719
scaleup,1250,1.4615,1.6679
scaleup,1300,1.4434,1.643
scaleup,1350,1.435,1.647
scaleup,1400,1.4271,1.6384
scaleup,1450,1.4136,1.6197
scaleup,1500,1.4035,1.6175
scaleup,1550,1.3926,1.6047
scaleup,1600,1.3839,1.601
scaleup,1650,1.3742,1.5986
scaleup,1700,1.3684,1.5919
scaleup,1750,1.3593,1.5928
scaleup,1800,1.3505,1.5822
scaleup,1850,1.3481,1.5766
scaleup,1900,1.3373,1.5639
scaleup,1950,1.3301,1.5643
scaleup,2000,1.3247,1.558
scaleup,2050,1.3191,1.5624
scaleup,2100,1.3081,1.5494
scaleup,2150,1.3059,1.5453
scaleup,2200,1.2978,1.5452
scaleup,2250,1.295,1.5402
scaleup,2300,1.2874,1.5338
scaleup,2350,1.2825,1.5277
scaleup,2400,1.2782,1.534
scaleup,2450,1.2733,1.5264
scaleup,2500,1.2671,1.531
scaleup,2550,1.2612,1.5247
scaleup,2600,1.2579,1.5257
scaleup,2650,1.2552,1.5168
scaleup,2700,1.2535,1.5222
scaleup,2750,1.2413,1.5137
scaleup,2800,1.2416,1.516
scaleup,2850,1.2351,1.508
scaleup,2900,1.2302,1.5159
scaleup,2950,1.2284,1.5149
scaleup,3000,1.2253,1.5058
scaleup,3050,1.2215,1.5083
scaleup,3100,1.215,1.507
scaleup,3150,1.2074,1.5015
scaleup,3200,1.2042,1.4982
scaleup,3250,1.2042,1.5042
scaleup,3300,1.2006,1.4997
scaleup,3350,1.1919,1.4889
scaleup,3400,1.194,1.5031
scaleup,3450,1.1857,1.4947
scaleup,3500,1.1834,1.5036
scaleup,3550,1.181,1.4922
scaleup,3600,1.1762,1.4902
scaleup,3650,1.1732,1.4965
scaleup,3700,1.1698,1.4897
scaleup,3750,1.1643,1.4865
scaleup,3800,1.1627,1.4934
scaleup,3850,1.161,1.4936
scaleup,3900,1.1543,1.4985
scaleup,3950,1.1522,1.4946
scaleup,4000,1.152,1.4907
scaleup,4050,1.1469,1.4899
scaleup,4100,1.1414,1.491
scaleup,4150,1.1381,1.4902
scaleup,4200,1.1367,1.4886
scaleup,4250,1.1353,1.486
scaleup,4300,1.1287,1.4902
scaleup,4350,1.1269,1.4871
scaleup,4400,1.1221,1.4844
scaleup,4450,1.1177,1.4893
scaleup,4500,1.1175,1.4934
scaleup,4550,1.1121,1.4911
scaleup,4600,1.1098,1.4754
scaleup,4650,1.1088,1.4921
scaleup,4700,1.1057,1.4849
scaleup,4750,1.102,1.4953
scaleup,4800,1.0985,1.4878
scaleup,4850,1.0935,1.49
scaleup,4900,1.0906,1.4839
scaleup,4950,1.0879,1.4841
postlayernorm,0,4.4141,4.4026
postlayernorm,50,3.1749,3.2156
postlayernorm,100,2.8835,2.903
postlayernorm,150,2.7067,2.7094
postlayernorm,200,2.6023,2.6097
postlayernorm,250,2.547,2.559
postlayernorm,300,2.4905,2.4962
postlayernorm,350,2.4632,2.4728
postlayernorm,400,2.4391,2.4375
postlayernorm,450,2.4174,2.4305
postlayernorm,500,2.4022,2.4256
postlayernorm,550,2.3826,2.3812
postlayernorm,600,2.365,2.369
postlayernorm,650,2.3547,2.3653
postlayernorm,700,2.3232,2.3443
postlayernorm,750,2.3211,2.3326
postlayernorm,800,2.3112,2.3174
postlayernorm,850,2.3081,2.3114
postlayernorm,900,2.2964,2.291
postlayernorm,950,2.276,2.3008
postlayernorm,1000,2.2771,2.2858
postlayernorm,1050,2.2442,2.2791
postlayernorm,1100,2.2546,2.2697
postlayernorm,1150,2.2394,2.2589
postlayernorm,1200,2.2257,2.2579
postlayernorm,1250,2.2297,2.2559
postlayernorm,1300,2.2227,2.2334
postlayernorm,1350,2.2115,2.2375
postlayernorm,1400,2.1959,2.2275
postlayernorm,1450,2.2058,2.2279
postlayernorm,1500,2.195,2.2282
postlayernorm,1550,2.1777,2.2165
postlayernorm,1600,2.1876,2.2103
postlayernorm,1650,2.1822,2.196
postlayernorm,1700,2.168,2.1977
postlayernorm,1750,2.159,2.1966
postlayernorm,1800,2.1717,2.2023
postlayernorm,1850,2.1554,2.2009
postlayernorm,1900,2.1523,2.1903
postlayernorm,1950,2.1482,2.185
postlayernorm,2000,2.1508,2.189
postlayernorm,2050,2.1363,2.1883
postlayernorm,2100,2.129,2.1797
postlayernorm,2150,2.1335,2.1836
postlayernorm,2200,2.1517,2.1791
postlayernorm,2250,2.1236,2.1523
postlayernorm,2300,2.1141,2.1686
postlayernorm,2350,2.1082,2.1622
postlayernorm,2400,2.1023,2.1683
postlayernorm,2450,2.111,2.1496
postlayernorm,2500,2.0947,2.158
postlayernorm,2550,2.0912,2.1525
postlayernorm,2600,2.0882,2.1537
postlayernorm,2650,2.1102,2.1484
postlayernorm,2700,2.0889,2.1364
postlayernorm,2750,2.0868,2.1384
postlayernorm,2800,2.0873,2.1435
postlayernorm,2850,2.0754,2.1293
postlayernorm,2900,2.078,2.1238
postlayernorm,2950,2.0831,2.1395
postlayernorm,3000,2.0693,2.1257
postlayernorm,3050,2.0728,2.1354
postlayernorm,3100,2.0583,2.1253
postlayernorm,3150,2.0686,2.1218
postlayernorm,3200,2.0751,2.1237
postlayernorm,3250,2.0656,2.106
postlayernorm,3300,2.0524,2.1209
postlayernorm,3350,2.0582,2.14
postlayernorm,3400,2.0635,2.111
postlayernorm,3450,2.0487,2.1106
postlayernorm,3500,2.0468,2.0997
postlayernorm,3550,2.0503,2.1111
postlayernorm,3600,2.0421,2.1048
postlayernorm,3650,2.0426,2.1148
postlayernorm,3700,2.0439,2.1221
postlayernorm,3750,2.0543,2.1254
postlayernorm,3800,2.0371,2.1148
postlayernorm,3850,2.0416,2.1041
postlayernorm,3900,2.0399,2.1187
postlayernorm,3950,2.0355,2.1248
postlayernorm,4000,2.0309,2.106
postlayernorm,4050,2.0251,2.1101
postlayernorm,4100,2.0172,2.1158
postlayernorm,4150,2.0106,2.0935
postlayernorm,4200,2.022,2.1017
postlayernorm,4250,2.0111,2.0994
postlayernorm,4300,2.0223,2.0963
postlayernorm,4350,2.0052,2.0828
postlayernorm,4400,2.0101,2.0884
postlayernorm,4450,2.0107,2.1079
postlayernorm,4500,2.0137,2.0893
postlayernorm,4550,2.0115,2.0987
postlayernorm,4600,2.0141,2.0998
postlayernorm,4650,2.0099,2.0927
postlayernorm,4700,2.0097,2.0954
postlayernorm,4750,1.9992,2.0872
postlayernorm,4800,2.0105,2.0924
postlayernorm,4850,1.989,2.0828
postlayernorm,4900,1.9972,2.0698
postlayernorm,4950,2.0021,2.1105
sa,0,4.1985,4.201
sa,50,3.3866,3.435
sa,100,3.2286,3.2712
sa,150,3.1723,3.2067
sa,200,3.1259,3.158
sa,250,3.1024,3.1294
sa,300,3.0694,3.0838
sa,350,3.0304,3.0504
sa,400,2.9949,3.0263
sa,450,2.9531,2.9835
sa,500,2.9418,2.9546
sa,550,2.8856,2.9012
sa,600,2.8403,2.8523
sa,650,2.7895,2.8065
sa,700,2.7517,2.7482
sa,750,2.6974,2.7051
sa,800,2.6686,2.6741
sa,850,2.6429,2.6521
sa,900,2.6228,2.6377
sa,950,2.6167,2.6182
sa,1000,2.618,2.6132
sa,1050,2.6072,2.5953
sa,1100,2.5874,2.5883
sa,1150,2.5784,2.5775
sa,1200,2.5601,2.571
sa,1250,2.5501,2.5597
sa,1300,2.5379,2.5633
sa,1350,2.5285,2.55
sa,1400,2.5369,2.5391
sa,1450,2.5257,2.5354
sa,1500,2.5158,2.5191
sa,1550,2.5152,2.5116
sa,1600,2.5061,2.5162
sa,1650,2.5064,2.5093
sa,1700,2.4932,2.5093
sa,1750,2.4912,2.4994
sa,1800,2.4814,2.4945
sa,1850,2.4872,2.4956
sa,1900,2.4722,2.4938
sa,1950,2.4777,2.4867
sa,2000,2.4689,2.4903
sa,2050,2.469,2.4793
sa,2100,2.4697,2.4685
sa,2150,2.4675,2.4647
sa,2200,2.4628,2.4745
sa,2250,2.4611,2.4694
sa,2300,2.4527,2.4686
sa,2350,2.4572,2.4645
sa,2400,2.4613,2.463
sa,2450,2.4498,2.4693
sa,2500,2.441,2.4636
sa,2550,2.4418,2.4655
sa,2600,2.4425,2.4569
sa,2650,2.4488,2.4738
sa,2700,2.4325,2.468
sa,2750,2.4342,2.467
sa,2800,2.4293,2.4541
sa,2850,2.4412,2.4627
sa,2900,2.4263,2.4422
sa,2950,2.4306,2.4424
sa,3000,2.4245,2.4426
sa,3050,2.4335,2.4375
sa,3100,2.44,2.4614
sa,3150,2.4271,2.4424
sa,3200,2.4211,2.4406
sa,3250,2.4266,2.4389
sa,3300,2.4194,2.4261
sa,3350,2.4273,2.4337
